FIPS,State,Median Housing Value,Change per dBA
01,Alabama,141300,74.1648375
02,Alaska,273100,143.3433625
04,Arizona,223400,117.257075
05,Arkansas,128500,67.4464375
06,California,509400,267.371325
08,Colorado,348900,183.1288875
09,Connecticut,273100,143.3433625
10,Delaware,252800,132.6884
11,District,607200,318.7041
12,Florida,214000,112.32325
13,Georgia,173700,91.1707875
15,Hawaii,617400,324.057825
16,Idaho,207100,108.7016125
17,Illinois,195300,102.5080875
18,Indiana,141100,74.0598625
19,Iowa,149100,78.2588625
20,Kansas,150600,79.046175
21,Kentucky,141000,74.007375
22,Louisiana,162500,85.2921875
23,Maine,191200,100.3561
24,Maryland,312500,164.0234375
25,Massachusetts,385400,202.286825
26,Michigan,155700,81.7230375
27,Minnesota,224000,117.572
28,Mississippi,120200,63.089975
29,Missouri,156700,82.2479125
30,Montana,231300,121.4035875
31,Nebraska,155800,81.775525
32,Nevada,258200,135.522725
33,NewHampshire,263600,138.35705
34,NewJersey,334900,175.7806375
35,NewMexico,171300,89.9110875
36,NewYork,314500,165.0731875
37,NorthCarolina,171200,89.8586
38,NorthDakota,194700,102.1931625
39,Ohio,144200,75.686975
40,Oklahoma,137400,72.117825
41,Oregon,319200,167.5401
42,Pennsylvania,181200,95.10735
44,RhodeIsland,257800,135.312775
45,SouthCarolina,161800,84.924775
46,SouthDakota,167600,87.96905
47,Tennessee,167500,87.9165625
48,Texas,172200,90.383475
49,Utah,275100,144.3931125
50,Vermont,226300,118.7792125
51,Virginia,273400,143.500825
53,Washington,339000,177.932625
54,WestVirginia,119800,62.880025
55,Wisconsin,178900,93.9001375
56,Wyoming,214300,112.4807125
